"species","ecological_group","reassign"
"Apoprionospio dayi",4,0
"Apoprionospio nova",2,0
"Apoprionospio pygmaea",2,0
"Aporrhais pespelecani",1,0
"Aporrhais serresiana",1,0
"Aporrhais serresianus",1,0
"Aporrhais sp.",1,0
"Apseudes acutifrons",3,0
"Apseudes chilkensis",3,0
"Apseudes coriolis",3,0
"Apseudes echinatus",3,0
"Apseudes elisae",3,0
"Apseudes grossimanus",3,0
"Apseudes gymnophobia",3,0
"Apseudes holthuisi",3,0
"Apseudes intermedius",3,0
"Apseudes latreillei",3,0
"Apseudes latreillii",3,0
"Apseudes manna",3,0
"Apseudes mortoni",1,0
"Apseudes nipponicus",2,0
"Apseudes sp.",0,0
"Apseudes spinosus",1,0
"Apseudes spinosus spinosus",1,0
"Apseudes talpa",2,0
"Apseudes tenuimanus",3,0
"Apseudidae",3,1
"Apseudomorpha sp.",3,0
"Apseudopsis acutifrons",3,0
"Apseudopsis adami",3,0
"Apseudopsis elisae",3,0
"Apseudopsis latreillii",3,0
"Apseudopsis rogi",3,0
"Aquilonastra batheri",1,0
"Arabella geniculata",1,0
"Arabella iricola",1,0
"Arabella iricolor",1,0
"Arabella multidentata",1,0
"Arabella mutans",2,0
"Arabella sp.",1,1
"Arachnidium fibrosum",2,0
"Arachnidium sp.",2,0
"Araphura breviaria",2,0
"Araphura brevimanus",1,0
"Araphura filiformis",1,0
"Araphura sp.",1,1
"Arbacia dufresnii",1,0
"Arbacia lixula",2,0
"Arbaciella elegans",1,0
"Arca boucardi",1,0
"Arca diluvii",1,0
"Arca fragilis",1,0
"Arca lactea",1,0
"Arca noae",1,0
"Arca pectunculoides",1,0
"Arca sp.",1,0
"Arca tetragona",1,0
"Arca zebra",1,0
